attr,charge,id,mode,name,race,rare,skill1,skill2,skill3
,消除任何符石 (只計算首批消除的符石),01,1,虛之狂暴龍紋,,1,1 回合內，隊伍攻擊力提升 10%,,
,消除任何符石 (只計算首批消除的符石),02,2,虛之狂暴龍印,,1,1 回合內，隊伍攻擊力提升 10%,,
,消除任何符石 (只計算首批消除的符石),03,3,虛之狂暴龍咒,,1,1 回合內，隊伍攻擊力提升 10%,,
水,消除水符石 (只計算首批消除的符石),04,1,漩之屏息龍紋,,2,1 回合內，水屬性成員的攻擊力提升 20%,1 回合內，回復 50% 生命力,
火,消除火符石 (只計算首批消除的符石),05,3,煉之屏息龍咒,,2,1 回合內，火屬性成員的攻擊力提升 20%,1 回合內，回復 50% 生命力,
木,消除木符石 (只計算首批消除的符石),06,1,森之屏息龍紋,,2,1 回合內，木屬性成員的攻擊力提升 20%,1 回合內，回復 50% 生命力,
光,消除光符石 (只計算首批消除的符石),07,2,耀之屏息龍印,,2,1 回合內，光屬性成員的攻擊力提升 20%,1 回合內，回復 50% 生命力,
暗,消除暗符石 (只計算首批消除的符石),08,3,影之屏息龍咒,,2,1 回合內，暗屬性成員的攻擊力提升 20%,1 回合內，回復 50% 生命力,
,連擊 (Combo) 達 4 或以上,09,1,連之愈時龍紋,人類,3,1 回合內，人類成員的攻擊力提升 20%,隨機 1 個人類成員的技能 CD 減少 2,1 回合內，隊伍攻擊力提升 20%
,消除心符石 (只計算首批消除的符石),10,2,祈之圖騰龍印,獸類,3,1 回合內，獸類成員的攻擊力提升 20%,1 回合內，20% 的攻擊傷害無視指定形狀盾,1 回合內，隊伍攻擊力提升 20%
,裝備此龍刻的召喚獸發動攻擊的次數,11,3,攻之原色龍咒,神族,3,1 回合內，神族成員的攻擊力提升 20%,1 回合內，20% 的攻擊傷害無視五屬盾,1 回合內，隊伍攻擊力提升 20%
,消除心符石 (只計算首批消除的符石),12,1,祈之衝鋒龍紋,龍類,3,1 回合內，龍類成員的攻擊力提升 20%,1 回合內，20% 的攻擊傷害無視攻前盾,1 回合內，隊伍攻擊力提升 20%
,召喚獸受到攻擊次數,13,2,抵之愈時龍印,妖精類,3,1 回合內，妖精類成員的回復力提升 20%,隨機 3 個妖精類成員的技能 CD 減少 1,1 回合內，隊伍攻擊力提升 20%
,裝備此龍刻的召喚獸發動攻擊的次數,14,3,攻之愈時龍咒,魔族,3,1 回合內，魔族成員的攻擊力提升 20%,隨機 1 個魔族成員的技能 CD 減少 2,1 回合內，隊伍攻擊力提升 20%
,裝備此龍刻的召喚獸發動攻擊的次數,15,2,攻之屏息龍印,,2,1 回合內，回復 50% 生命力,1 回合內，隊伍攻擊力提升 20%,
,裝備此龍刻的召喚獸發動攻擊的次數,16,3,攻之屏息龍咒,,2,1 回合內，回復 50% 生命力,1 回合內，隊伍攻擊力提升 20%,
,召喚獸受到攻擊次數,17,1,抵之狂暴龍紋,,1,1 回合內，隊伍攻擊力提升 10%,,
,裝備此龍刻的召喚獸發動攻擊的次數,18,2,攻之鐵壁龍印,人類,2,1 回合內，減少所受傷害 50%,1 回合內，對全體敵人造成 25000 點無屬性傷害,
,裝備此龍刻的召喚獸發動攻擊的次數,19,2,攻之炮擊龍印,獸類,2,1 回合內，減少所受傷害 50%,1 回合內，對全體敵人造成 25000 點無屬性傷害,
,連擊 (Combo) 達 4 或以上,20,2,連之鐵壁龍印,神族,2,1 回合內，減少所受傷害 50%,1 回合內，對全體敵人造成 25000 點無屬性傷害,
,召喚獸受到攻擊次數,21,3,抵之炮擊龍咒,龍類,2,1 回合內，減少所受傷害 50%,1 回合內，對全體敵人造成 25000 點無屬性傷害,
,消除心符石 (只計算首批消除的符石),22,1,祈之炮擊龍紋,妖精類,2,1 回合內，減少所受傷害 50%,1 回合內，對全體敵人造成 25000 點無屬性傷害,
,連擊 (Combo) 達 4 或以上,23,2,連之炮擊龍印,魔族,2,1 回合內，減少所受傷害 50%,1 回合內，對全體敵人造成 25000 點無屬性傷害,
水,消除水符石 (只計算首批消除的符石),24,2,漩之狂暴龍印,,3,1 回合內，隊伍回復力提升 50%,1 回合內，水屬性成員的攻擊力提升 30%,1 回合內，所有成員無視屬性相剋
火,消除火符石 (只計算首批消除的符石),25,1,煉之狂暴龍紋,,3,1 回合內，隊伍回復力提升 50%,1 回合內，火屬性成員的攻擊力提升 30%,1 回合內，所有成員無視屬性相剋
木,消除木符石 (只計算首批消除的符石),26,3,森之狂暴龍咒,,3,1 回合內，隊伍回復力提升 50%,1 回合內，木屬性成員的攻擊力提升 30%,1 回合內，所有成員無視屬性相剋
光,消除光符石 (只計算首批消除的符石),27,2,耀之狂暴龍印,,3,1 回合內，隊伍回復力提升 50%,1 回合內，光屬性成員的攻擊力提升 30%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害)
暗,消除暗符石 (只計算首批消除的符石),28,3,影之狂暴龍咒,,3,1 回合內，隊伍回復力提升 50%,1 回合內，暗屬性成員的攻擊力提升 30%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害)
,消除心符石 (只計算首批消除的符石),29,3,祈之鐵壁龍咒,人類,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，減少所受傷害 80%,
,召喚獸受到攻擊次數,30,3,抵之屏息龍咒,獸類,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，回復 80% 生命力,
,裝備此龍刻的召喚獸發動攻擊的次數,31,1,攻之屏息龍紋,神族,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，回復 80% 生命力,
,連擊 (Combo) 達 4 或以上,32,2,連之屏息龍印,龍類,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，回復 80% 生命力,
,消除心符石 (只計算首批消除的符石),33,2,祈之屏息龍印,妖精類,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，回復 80% 生命力,
,連擊 (Combo) 達 4 或以上,34,1,連之鐵壁龍紋,魔族,2,1 回合內，隊伍攻擊力提升 20%,1 回合內，減少所受傷害 80%,
,消除心符石 (只計算首批消除的符石),35,4,祈之狂暴龍符,,1,1 回合內，隊伍攻擊力提升 10%,,
,連擊 (Combo) 達 4 或以上,36,4,連之王暴龍符,人類,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，人類成員的攻擊力提升 30%,
,裝備此龍刻的召喚獸發動攻擊的次數,37,4,攻之獸暴龍符,獸類,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，獸類成員的攻擊力提升 30%,
,連擊 (Combo) 達 4 或以上,38,4,連之神暴龍符,神族,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，神族成員的攻擊力提升 30%,
,連擊 (Combo) 達 4 或以上,39,4,連之龍暴龍符,龍類,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，龍類成員的攻擊力提升 30%,
,召喚獸受到攻擊次數,40,4,抵之妖暴龍符,妖精類,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，妖精類成員的攻擊力提升 30%,
,裝備此龍刻的召喚獸發動攻擊的次數,41,4,攻之魔暴龍符,魔族,2,1 回合內，單體攻擊轉化為全體攻擊,1 回合內，魔族成員的攻擊力提升 30%,
水,消除水符石 (只計算首批消除的符石),42,4,漩之威嚇龍符,,2,1 回合內，水屬性成員的攻擊力提升 20%,延遲火屬性敵人行動 1 回合,
火,消除火符石 (只計算首批消除的符石),43,4,煉之威嚇龍符,,2,1 回合內，火屬性成員的攻擊力提升 20%,延遲木屬性敵人行動 1 回合,
木,消除木符石 (只計算首批消除的符石),44,2,森之威嚇龍印,,2,1 回合內，木屬性成員的攻擊力提升 20%,延遲水屬性敵人行動 1 回合,
